Timestamp,Signature,Slot,Logs,Error,Transaction Fee,Slippage
2024-06-19T16:45:46.474Z,5Dar6iN5HYoCXsKW5pVX1mQKhCUohMN19JtaNt13Db65WKJ7JEMzTcWbqM83tVCqKnBa3aCNfjNDH93UYQrvqmhP,272804415,,,0,0
2024-06-19T16:45:46.476Z,VaYYat41yiUpSuwNaQydt8f2ZDLjQCtYrzx2jJMTrk8BkxEEwGNKYD3SgEr4MStvpnB5V2Jm1tGBeMKjddZcnSN,272804415,,,0,0
2024-06-19T16:45:46.480Z,2n4abskcYT3QQCT7SsAMWkDv9ALF5p4z6aAb4RoXaWtKWV6gY8MCnWbR5F7xk2s9s8fJZPJ7cfCBipASbLLhmH4X,272804415,,,0,0
2024-06-19T16:45:46.482Z,2nDWdgfHhwRgMPSYdGw6jFCNWHnuHUWTyJHTPRSiD9f936MpyLSyCm11p2QfWtev39ks8XZPJHKCTJvBnXADWG9v,272804415,,,0,0
2024-06-19T16:45:46.487Z,4wCBpgwaCpeZaS1o6kEDEgZVjYirbPwmuz6wjCPDujtWVZKiLDT7JJhVEtJRZakEBrMvU1NGXQqN9LqKHnvsv58L,272804415,,,0,0
2024-06-19T16:45:46.485Z,2wDeCsdwbLjsANxW68fDak9oFSnfkL8kF2KB77UM3os4DdGNwJju3FE7cTrkw6rxYSEtr4Mw15PvC1yFadVPmno8,272804415,,,0,0
2024-06-19T16:45:46.489Z,2QgEn5CbMZy7vuQUEkkZ6JoS6zFbwpWVhYkuSXCz6uApF5K1cpUarLrZMeukgyS8nTTV82EJdGCyKZxWBczc3XC,272804415,,,0,0
2024-06-19T16:45:46.483Z,4GPUKD6RJwTRrhLtMm76ww3uU2BQ5iHpD3UPCQbhRRk38fbRbsrhmPLEu364VaKH5to2orjEDg8Zj2fqBdGGmejZ,272804415,,,0,0
2024-06-19T16:45:46.494Z,3RvnpLXssdr6byVNqS3LdECK3RVDEAi345fMzxPPR754Vx542Hhp7GJsrh66TrgsTc365Xp9C9By3BgzJizSFqrE,272804415,,,0,0
2024-06-19T16:45:46.490Z,wqRusBHJw4vR9ZZVxqL2K54gbJW8W2bm1Jqr4CZ2rgCiXTs8RtALX3PpVm53RyYgAUqWTJ3mPBPE5xcnPffvPeX,272804415,,,0,0
2024-06-19T16:45:46.492Z,2ue6s9H38DGjL32tMdLL41Dq6osUb7jvokLvDRnJ7cddY8CitoskdiS3oQaQWqof57PkGY5nU5dt5inFpqb4TdqU,272804415,,,0,0
2024-06-19T16:45:46.504Z,3Ha56RcynUjTT7xMdicNeEdfQQuFn8JGTU7JKDcM5VXvYRjtnHTPdsAa7gLspkNAxVMqneTEGeHLgBxJPfqsPSZy,272804415,,,0,0
2024-06-19T16:45:46.496Z,5q3xtUXHpw1YJ8bwA3Ey1JsUo9XHrLwHLb5qZ2dfHjzk6tuyzxJMjCEbxaXuvzKdMfTZKsXVi8NRppWR6EEzSiz7,272804415,,,0,0
2024-06-19T16:45:46.506Z,4oEvVvXG5AZr7fYM7uMifPbfkuZWBr7pTo7JckDHgZSTbHJfpQgsamxsBJMRnz3APXvcrBvjW1iukYFBNDoNVvRn,272804415,,,0,0
2024-06-19T16:45:46.505Z,42jffzg3nSXJGZAdKgDa4yuMJJ5EQmLXm3Eh4QPNjSgD3TUkLLWc8MPH6zJCNSYfdaSvQDRFstitSjq71AWbaVww,272804415,,,0,0
2024-06-19T16:45:46.509Z,2SVt1SZpmMPzDC7wXGYQSMzGtXfX7Mqqw51JnQn1ZaucZHoQ8JALY7iQr5Y3Bczmg5kiSm78reHinaxetAFfaPyz,272804415,,,0,0
2024-06-19T16:45:46.498Z,4UqcxtXm6SJd7fWFaFnCGfwAaLZrudapnVPVEG5g3V11PhgjUyt6qW4g75kjCe7G7MDhv2kYkALjNr319qVaEcaJ,272804415,,,0,0
2024-06-19T16:45:46.510Z,Kvbt6VGgPpBTHehem3sj3z286qbdWCASdHeVfEBhiBUnXJEQCUFNKUrg1m7PRjb3gG4A94Geh6Ain2qSU4tSnGG,272804415,,,0,0
2024-06-19T16:45:46.515Z,2NicU5VsJyEp6bSKkTKwvom6YfCu2YEWaN1urdrSn7ZaMaB9TTuyKE59jMtbyQcrjZd2UGTkELsueNZZoAXp6BqF,272804415,,,0,0
2024-06-19T16:45:46.516Z,44QxQtF2WYqmkEZknLM8eaCwp3HCxbUpnKaR9wFZgAb5BwbXapQ26Ad8eMZTpAaxxzMRsfXN3rcHfWbxPCTxDm3K,272804415,,,0,0
2024-06-19T16:45:46.512Z,2V99cLGvzmLq9s85o36MLEY17djBoiZj56qwaY424AnhAYV3YFoNCCuPXHkZwZ9hVxNib2NEp8Egu1QQ2cN4m1oi,272804415,,,0,0
2024-06-19T16:45:46.519Z,3CR3DtUCpgQKB8F2ukWyi3Ww4HAAun96s21L8kpqAAABaC6FKfxbdWdyhNeTmBpUWXMVT31b9jnLX8UPbxdQxmGe,272804415,,,0,0
2024-06-19T16:45:46.520Z,WZPMSUNgdcF6UFiRPaY6BU4SpwSKgVdpy412CAxDhiDYQb4cXUkQuvN3x2sfCo6Z8oPXP6haAJpigTPF8HQQPAR,272804415,,,0,0
2024-06-19T16:45:46.517Z,RZDCSpmzuvB2tf3KhZ9XT2iCcNbXMEmPwqDWn6y1siiHERF2enEQ4PPBHTAGpGehxGuxbQKLtgLmR438U35BfBa,272804415,,,0,0
2024-06-19T16:45:46.523Z,4oYU1Z84e19iLQd7aGtoTi243YAyX8M7CW4KuoZXChQwNZ7wbtvxy3Qxa7EuCKSPP4YUpxdGU4T1g8wWh9HxgXi4,272804415,,,0,0
2024-06-19T16:45:46.522Z,2nvS9f7t1AAjZ2Q46m7Euz6MfjDKBmJFEdx1tmFiy5z4fj3GKVP9EBesf8H1HQUYcyrKxSqa3yNqhLr5Q5f2dLo2,272804415,,,0,0
2024-06-19T16:45:46.513Z,q1tLk9YeYCTt6mypKqJNd38jKWQMTEoqHKGoKaddXUUnH98bEoUZ9j8jWaSHJxddVhdywah8WMv5JgXvWX6N5iJ,272804415,,,0,0
2024-06-19T16:45:46.524Z,27TAYsfjuDXKWm5rgDQcZiftkP4nuaZ38WnjY4RnjyVDWUF8RTL3eSGMhF5KyoHw9HRmcxWdWGFEjF2QoUednuj9,272804415,,,0,0
2024-06-19T16:45:46.527Z,4vjEy3FHXbQNdAJ2PMfbNAfPPicgH6qTyqY11UGxgo6RYSL7Z6t59cHDHj7TkbE8kqw7gU6tEfi56BNb6VAcV5DC,272804415,,,0,0
2024-06-19T16:45:46.529Z,3n2eYvqa9mz7AiGTXhYCZUPXf3g7RcitaZ2bidozzNW6Uy3Sb7qkv9LSmqC5pyVDoz9q2inBqTH7xaHZ5E6MLcGQ,272804415,,,0,0
2024-06-19T16:45:46.530Z,4UBjR48cyT4KQqjskwC65tfzmzsunsTf6dzcHc8qxxtXBequAUQCHHvedbLAF6rQbL1rhKn4xHRXpBdJ9D4JjT4z,272804415,,,0,0
2024-06-19T16:45:46.532Z,2riDj8rko2cqhA3PyY486bzYBZ7W5JpzAsLdRhoACLxHh8ZowuGQRWJNGcVPP9w6cxPiM44EKFg271gsyXGvDR8A,272804415,,,0,0
2024-06-19T16:45:46.534Z,4Rp8zkcgnm1KXp1XYHhr18sQ8LybVBoAuZqppectiSqmWnGiJhv94DzoxdtZEhKbLwiUnnqFveJYR3Hpc69JAYBv,272804415,,,0,0
